Code,Occupation,Job Family,Cluster
47-2041.00,carpet installers,Construction and Extraction,0
17-1021.00,cartographers photogrammetrists,Architecture and Engineering,0
41-2011.00,cashiers,Sales and Related,0
47-2051.00,cement masons concrete finishers,Construction and Extraction,0
35-1011.00,chefs head cooks,Food Preparation and Serving Related,0
17-2041.00,chemical engineers,Architecture and Engineering,9
51-9011.00,chemical equipment operators tenders,Production,5
51-8091.00,chemical plant system operators,Production,0
19-4031.00,chemical technicians,"Life, Physical, and Social Science",1
25-1052.00,chemistry teachers postsecondary,Educational Instruction and Library,2
19-2031.00,chemists,"Life, Physical, and Social Science",0
11-1011.00,chief executives,Management,0
11-1011.03,chief sustainability officers,Management,0
21-1021.00,child family school social workers,Community and Social Service,0
39-9011.00,childcare workers,Personal Care and Service,0
29-1011.00,chiropractors,Healthcare Practitioners and Technical,0
27-2032.00,choreographers,"Arts, Design, Entertainment, Sports, and Media",0
17-3022.00,civil engineering technologists technicians,Architecture and Engineering,1
17-2051.00,civil engineers,Architecture and Engineering,9
13-1031.00,claims adjusters examiners investigators,Business and Financial Operations,0
53-7061.00,cleaners vehicles equipment,Transportation and Material Moving,5
51-9192.00,cleaning washing metal pickling equipment operators tenders,Production,5
21-2011.00,clergy,Community and Social Service,0
19-2041.01,climate change policy analysts,"Life, Physical, and Social Science",0
19-3033.00,clinical counseling psychologists,"Life, Physical, and Social Science",0
15-2051.02,clinical data managers,Computer and Mathematical,7
19-3039.03,clinical neuropsychologists,"Life, Physical, and Social Science",0
29-1141.04,clinical nurse specialists,Healthcare Practitioners and Technical,4
11-9121.01,clinical research coordinators,Management,0
27-2022.00,coaches scouts,"Arts, Design, Entertainment, Sports, and Media",0
51-9124.00,coating painting spraying machine setters operators tenders,Production,0
51-2021.00,coil winders tapers finishers,Production,0
49-9091.00,coin vending amusement machine servicers repairers,"Installation, Maintenance, and Repair",0
55-1015.00,command control center officers,Military Specific,0
55-3015.00,command control center specialists,Military Specific,4
27-1021.00,commercial industrial designers,"Arts, Design, Entertainment, Sports, and Media",8
49-9092.00,commercial divers,"Installation, Maintenance, and Repair",8
53-2012.00,commercial pilots,Transportation and Material Moving,8
43-2099.00,communications equipment operators,Office and Administrative Support,5
